"fips","less_12","college","total_persons","year"
"10001",111802,82215,479327,1990
"10003",416629,670579,2468814,1990
"10005",122799,69584,474056,1990
"24NA",1658878,2507229,8411510,1990
"24001",148023,63048,512920,1990
"24003",475043,712156,2736943,1990
"24005",1054038,1158050,4759097,1990
"24009",38271,43280,225388,1990
"24011",32101,12261,107337,1990
"24013",135854,127058,641786,1990
"24015",101326,45667,372645,1990
"24017",65698,73930,423297,1990
"24019",36313,15068,115360,1990
"24021",161222,197439,863209,1990
"24023",40808,12412,129249,1990
"24025",181435,238659,1055258,1990
"24027",95356,557872,1165826,1990
"24029",17026,14364,70414,1990
"24031",361637,2481415,4738614,1990
"24033",387576,744152,2497213,1990
"24035",34469,36352,169381,1990
"24037",57121,52723,283958,1990
"24039",24642,8455,76285,1990
"24041",23806,35336,134083,1990
"24043",231981,92028,778254,1990
"24045",67711,57154,272599,1990
"24047",36331,27184,152817,1990
"24510",883608,584784,2483484,1990
"12NA",7332526,6437596,31956308,1990
"12001",106004,327880,830816,1990
"12003",23032,4319,67992,1990
"12005",185156,137348,810035,1990
"12007",30965,8938,98333,1990
"12009",476602,604439,2904490,1990
"12011",1846541,1821872,9171248,1990
"12013",18014,3720,43001,1990
"12015",192780,112228,819640,1990
"12017",161033,54053,518504,1990
"12019",103219,118057,621611,1990
"12021",191124,260538,1105185,1990
"12023",45411,20054,162988,1990
"12025",3779387,2417226,11606271,1990
"12027",41776,8097,99906,1990
"12029",19152,3124,47043,1990
"12031",808297,848593,4183265,1990
"12033",304205,306164,1486376,1990
"12035",30477,25672,151660,1990
"12037",16181,5540,41278,1990
"12039",25430,15979,100764,1990
"12041",14753,3011,40693,1990
"12043",12656,2451,32563,1990
"12045",13957,5019,47415,1990
"12047",10459,2726,30482,1990
"12049",30912,7243,75751,1990
"12051",31794,10552,85881,1990
"12053",214503,71739,742945,1990
"12055",100975,39464,345090,1990
"12057",1139393,1123956,5182203,1990
"12059",29715,5414,69913,1990
"12061",123207,125690,609902,1990
"12063",50986,19107,148945,1990
"12065",7797,6187,31084,1990
"12067",7779,1234,21231,1990
"12069",211158,103937,775533,1990
"12071",529171,422771,2483369,1990
"12073",38645,171271,400844,1990
"12075",7061,1791,20117,1990
"12077",1428,291,3522,1990
"12079",2524,1074,7847,1990
"12081",165810,116216,722922,1990
"12083",101801,50651,374247,1990
"12085",59882,70606,336589,1990
"12087",19406,21251,101183,1990
"12089",17080,7935,63082,1990
"12091",51282,91043,392954,1990
