"fips","in_mig","out_mig","net_mig","year"
"17203",6681,5893,788,2000
"18001",3208,4201,-993,2000
"18003",43745,47168,-3423,2000
"18005",11274,11518,-244,2000
"18007",1789,1905,-116,2000
"18009",1992,2428,-436,2000
"18011",9991,7628,2363,2000
"18013",3520,3314,206,2000
"18015",3933,3287,646,2000
"18017",5776,6491,-715,2000
"18019",17744,16114,1630,2000
"18021",3715,4370,-655,2000
"18023",4293,5355,-1062,2000
"18025",1968,1899,69,2000
"18027",2919,3460,-541,2000
"18029",8900,7333,1567,2000
"18031",3032,4112,-1080,2000
"18033",6159,6176,-17,2000
"18035",22277,21161,1116,2000
"18037",3895,4946,-1051,2000
"18039",25082,25875,-793,2000
"18041",3058,4193,-1135,2000
"18043",14007,13739,268,2000
"18045",2984,3469,-485,2000
"18047",4253,2859,1394,2000
"18049",3275,3937,-662,2000
"18051",4457,4329,128,2000
"18053",10481,11761,-1280,2000
"18055",4715,4976,-261,2000
"18057",56787,32739,24048,2000
"18059",12707,10128,2579,2000
"18061",6884,4847,2037,2000
"18063",28205,17729,10476,2000
"18065",6044,7057,-1013,2000
"18067",11752,13634,-1882,2000
"18069",5401,6097,-696,2000
"18071",5783,5009,774,2000
"18073",6117,4800,1317,2000
"18075",2420,3742,-1322,2000
"18077",6388,4983,1405,2000
"18079",5393,3287,2106,2000
"18081",30198,20166,10032,2000
"18083",6725,5617,1108,2000
"18085",11668,11185,483,2000
"18087",4954,5265,-311,2000
"18089",52005,69912,-17907,2000
"18091",16254,15636,618,2000
"18093",5183,5495,-312,2000
"18095",15403,19430,-4027,2000
"18097",129495,155488,-25993,2000
"18099",6788,7479,-691,2000
"18101",1321,1839,-518,2000
"18103",6949,6530,419,2000
"18105",40472,33657,6815,2000
"18107",5481,6848,-1367,2000
"18109",13176,11661,1515,2000
"18111",3026,2911,115,2000
"18113",7633,7190,443,2000
"18115",1225,983,242,2000
"18117",2692,2269,423,2000
"18119",5122,3667,1455,2000
"18121",3704,3033,671,2000
"18123",2976,2516,460,2000
"18125",2154,1712,442,2000
"18127",29000,23800,5200,2000
"18129",3920,4869,-949,2000
"18131",2406,2312,94,2000
"18133",8781,6522,2259,2000
"18135",3926,5046,-1120,2000
"18137",4244,4650,-406,2000
"18139",2625,3511,-886,2000
"18141",42095,45314,-3219,2000
"18143",3380,3145,235,2000
"18145",6819,6858,-39,2000
"18147",3184,3265,-81,2000
"18149",4283,3511,772,2000
"18151",6484,5670,814,2000
"18153",3671,3019,652,2000
"18155",1824,1082,742,2000
"18157",45155,34886,10269,2000
"18159",2969,3005,-36,2000
"18161",1240,1211,29,2000
"18163",25198,25988,-790,2000
"18165",2413,2734,-321,2000
"18167",18551,18568,-17,2000
"18169",4834,5098,-264,2000
"18171",1936,972,964,2000
"18173",10610,9192,1418,2000
"18175",4460,3533,927,2000
"18177",8800,10714,-1914,2000
"18179",4099,4645,-546,2000
"18181",4492,5444,-952,2000
"18183",5358,4950,408,2000
"19001",1320,1351,-31,2000
"19003",772,572,200,2000
"19005",1807,2135,-328,2000
"19007",1828,2746,-918,2000
"19009",883,1130,-247,2000
"19011",5274,4305,969,2000
"19013",21911,23474,-1563,2000
"19015",4650,4084,566,2000
"19017",4820,4223,597,2000
"19019",3158,3927,-769,2000
"19021",3985,5207,-1222,2000
"19023",2161,2406,-245,2000
"19025",2109,2106,3,2000
"19027",2353,3194,-841,2000
"19029",1916,2299,-383,2000
"19031",3492,3552,-60,2000
"19033",6836,7843,-1007,2000
"19035",1758,2761,-1003,2000
"19037",1545,2314,-769,2000
"19039",2101,1749,352,2000
"19041",2899,3145,-246,2000
"19043",2386,3032,-646,2000
"19045",6593,8160,-1567,2000
"19047",2575,2964,-389,2000
"19049",11701,8201,3500,2000
"19051",1124,1368,-244,2000
"19053",2244,2246,-2,2000
"19055",2183,2988,-805,2000
"19057",5419,6663,-1244,2000
"19059",3363,2902,461,2000
"19061",11087,13159,-2072,2000
"19063",1614,1978,-364,2000
"19065",3355,3822,-467,2000
"19067",2325,3056,-731,2000
"19069",1566,2148,-582,2000
"19071",1673,1505,168,2000
"19073",1534,1712,-178,2000
"19075",2097,2430,-333,2000
"19077",2416,2867,-451,2000
"19079",2633,2637,-4,2000
"19081",1885,2207,-322,2000
"19083",3359,3872,-513,2000
"19085",2402,2511,-109,2000
"19087",3608,3718,-110,2000
"19089",1520,1486,34,2000
"19091",1589,1813,-224,2000
"19093",951,1532,-581,2000
"19095",2459,2430,29,2000
"19097",2896,2898,-2,2000
"19099",6549,5035,1514,2000
"19101",2490,3800,-1310,2000
"19103",35557,32723,2834,2000
"19105",3736,4251,-515,2000
"19107",1602,2182,-580,2000
"19109",2174,2786,-612,2000
"19111",4777,6176,-1399,2000
"19113",32107,30782,1325,2000
"19115",1992,2115,-123,2000
"19117",1600,1902,-302,2000
"19119",1373,2039,-666,2000
"19121",2904,2440,464,2000
"19123",4063,4117,-54,2000
"19125",6612,5358,1254,2000
"19127",6027,6765,-738,2000
"19129",3075,2812,263,2000
"19131",1522,1886,-364,2000
"19133",1508,1503,5,2000
"19135",1300,1492,-192,2000
"19137",2175,2060,115,2000
"19139",5138,7985,-2847,2000
"19141",2184,2507,-323,2000
"19143",963,1361,-398,2000
"19145",3384,2853,531,2000
"19147",1849,1908,-59,2000
"19149",3704,4427,-723,2000
"19151",1339,1703,-364,2000
"19153",62098,66405,-4307,2000
"19155",13036,14196,-1160,2000
"19157",3961,4431,-470,2000
"19159",1088,824,264,2000
"19161",1485,2059,-574,2000
"19163",25042,28174,-3132,2000
"19165",1710,1993,-283,2000
"19167",4598,5261,-663,2000
"19169",27904,24350,3554,2000
"19171",3093,3057,36,2000
"19173",1118,1233,-115,2000
"19175",2033,2948,-915,2000
"19177",1355,1283,72,2000
"19179",5541,5504,37,2000
"19181",8104,7675,429,2000
