"year","fips","labor_force","employed","unemployed","percent_unemployment"
NA,"NANA",NA,NA,NA,NA
"1990","17003",4118,3625,493,12
"1990","17005",7689,7129,560,7.3
"1990","17007",17706,16492,1214,6.9
"1990","17009",2482,2330,152,6.1
"1990","17011",17653,16725,928,5.3
"1990","17013",2252,2014,238,10.6
"1990","17015",8518,8072,446,5.2
"1990","17017",6800,6237,563,8.3
"1990","17019",94613,91909,2704,2.9
"1990","17021",18293,17391,902,4.9
"1990","17023",8677,8068,609,7
"1990","17025",6761,6128,633,9.4
"1990","17027",17027,15994,1033,6.1
"1990","17029",26300,24913,1387,5.3
"1990","17031",2616824,2431472,185352,7.1
"1990","17033",9055,8280,775,8.6
"1990","17035",5301,4846,455,8.6
"1990","17037",42616,40571,2045,4.8
"1990","17039",8426,7971,455,5.4
"1990","17041",10080,9664,416,4.1
"1990","17043",455650,437811,17839,3.9
"1990","17045",9679,8950,729,7.5
"1990","17047",3685,3453,232,6.3
"1990","17049",16631,15543,1088,6.5
"1990","17051",9661,8827,834,8.6
"1990","17053",7164,6867,297,4.1
"1990","17055",17498,15160,2338,13.4
"1990","17057",15071,13878,1193,7.9
"1990","17059",2925,2687,238,8.1
"1990","17061",7216,6812,404,5.6
"1990","17063",16788,15304,1484,8.8
"1990","17065",3608,3259,349,9.7
"1990","17067",10949,10423,526,4.8
"1990","17069",1948,1790,158,8.1
"1990","17071",4194,3951,243,5.8
"1990","17073",26314,24918,1396,5.3
"1990","17075",15311,14594,717,4.7
"1990","17077",30323,28484,1839,6.1
"1990","17079",5008,4729,279,5.6
"1990","17081",17726,15935,1791,10.1
"1990","17083",10290,9721,569,5.5
"1990","17085",11478,11008,470,4.1
"1990","17087",4304,3858,446,10.4
"1990","17089",173189,163138,10051,5.8
"1990","17091",48910,45815,3095,6.3
"1990","17093",21914,20955,959,4.4
"1990","17095",29357,27525,1832,6.2
"1990","17097",288664,277909,10755,3.7
"1990","17099",51555,47488,4067,7.9
"1990","17101",7116,6523,593,8.3
"1990","17103",16734,15941,793,4.7
"1990","17105",19400,18809,591,3
"1990","17107",14195,13463,732,5.2
"1990","17109",16865,16320,545,3.2
"1990","17111",102855,97430,5425,5.3
"1990","17113",74590,72175,2415,3.2
"1990","17115",60236,56438,3798,6.3
"1990","17117",23460,22021,1439,6.1
"1990","17119",128227,120551,7676,6
"1990","17121",19778,17595,2183,11
"1990","17123",6393,6126,267,4.2
"1990","17125",7696,7168,528,6.9
"1990","17127",6615,6167,448,6.8
"1990","17129",6089,5847,242,4
"1990","17131",8632,8108,524,6.1
"1990","17133",12341,11631,710,5.8
"1990","17135",14170,13154,1016,7.2
"1990","17137",19173,18423,750,3.9
"1990","17139",6875,6486,389,5.7
"1990","17141",25607,24335,1272,5
"1990","17143",92529,87834,4695,5.1
"1990","17145",9505,8349,1156,12.2
"1990","17147",8529,8135,394,4.6
"1990","17149",8728,8165,563,6.5
"1990","17151",1620,1462,158,9.8
"1990","17153",2892,2583,309,10.7
"1990","17155",2930,2733,197,6.7
"1990","17157",15754,14551,1203,7.6
"1990","17159",8311,7751,560,6.7
"1990","17161",74740,71055,3685,4.9
"1990","17163",120946,112239,8707,7.2
"1990","17165",10665,9653,1012,9.5
"1990","17167",103866,100333,3533,3.4
"1990","17169",3552,3257,295,8.3
"1990","17171",2890,2726,164,5.7
"1990","17173",10764,10091,673,6.3
"1990","17175",2945,2763,182,6.2
"1990","17177",25993,24491,1502,5.8
"1990","17179",65306,62229,3077,4.7
"1990","17181",8349,7484,865,10.4
"1990","17183",42408,38755,3653,8.6
"1990","17185",6360,5908,452,7.1
"1990","17187",10003,9445,558,5.6
"1990","17189",7609,7112,497,6.5
"1990","17191",8376,7606,770,9.2
"1990","17193",7319,6684,635,8.7
"1990","17195",30964,29295,1669,5.4
"1990","17197",187116,175176,11940,6.4
"1990","17199",27138,24701,2437,9
"1990","17201",142507,134961,7546,5.3
"1990","17203",17036,16521,515,3
"1990","18001",15287,14289,998,6.5
"1990","18003",162422,154105,8317,5.1
"1990","18005",33801,32169,1632,4.8
"1990","18007",4643,4487,156,3.4
"1990","18009",6966,6323,643,9.2
"1990","18011",20418,19935,483,2.4
"1990","18013",7272,6944,328,4.5
"1990","18015",9541,9152,389,4.1
"1990","18017",18833,17545,1288,6.8
"1990","18019",45884,43188,2696,5.9
"1990","18021",11193,10628,565,5
"1990","18023",14590,13915,675,4.6
"1990","18025",4411,3976,435,9.9
"1990","18027",12402,11905,497,4
"1990","18029",19533,17937,1596,8.2
"1990","18031",12002,11503,499,4.2
"1990","18033",19140,17993,1147,6
"1990","18035",58791,55518,3273,5.6
"1990","18037",20212,19571,641,3.2
"1990","18039",85232,80539,4693,5.5
"1990","18041",13207,11476,1731,13.1
"1990","18043",32695,31057,1638,5
"1990","18045",8314,7772,542,6.5
