"fips","year","new_total_mds"
"19077",2015,5
"19079",2015,7
"19081",2015,3
"19083",2015,8
"19085",2015,6
"19087",2015,16
"19089",2015,4
"19091",2015,3
"19093",2015,2
"19095",2015,11
"19097",2015,9
"19099",2015,13
"19101",2015,18
"19103",2015,1976
"19105",2015,9
"19107",2015,3
"19109",2015,9
"19111",2015,37
"19113",2015,396
"19115",2015,1
"19117",2015,1
"19119",2015,4
"19121",2015,2
"19123",2015,16
"19125",2015,25
"19127",2015,33
"19129",2015,11
"19131",2015,1
"19133",2015,6
"19135",2015,2
"19137",2015,8
"19139",2015,25
"19141",2015,10
"19143",2015,0
"19145",2015,18
"19147",2015,2
"19149",2015,11
"19151",2015,3
"19153",2015,945
"19155",2015,91
"19157",2015,23
"19159",2015,3
"19161",2015,8
"19163",2015,379
"19165",2015,9
"19167",2015,32
"19169",2015,153
"19171",2015,6
"19173",2015,1
"19175",2015,5
"19177",2015,3
"19179",2015,48
"19181",2015,19
"19183",2015,15
"19185",2015,4
"19187",2015,42
"19189",2015,5
"19191",2015,32
"19193",2015,162
"19195",2015,1
"19197",2015,6
"20001",2015,5
"20003",2015,4
"20005",2015,11
"20007",2015,1
"20009",2015,28
"20011",2015,12
"20013",2015,13
"20015",2015,96
"20017",2015,0
"20019",2015,0
"20021",2015,7
"20023",2015,2
"20025",2015,1
"20027",2015,12
"20029",2015,6
"20031",2015,9
"20033",2015,2
"20035",2015,26
"20037",2015,44
"20039",2015,2
"20041",2015,6
"20043",2015,4
"20045",2015,256
"20047",2015,1
"20049",2015,1
"20051",2015,70
"20053",2015,3
"20055",2015,37
"20057",2015,31
"20059",2015,21
"20061",2015,24
"20063",2015,5
"20065",2015,1
"20067",2015,5
"20069",2015,1
"20071",2015,1
"20073",2015,2
"20075",2015,1
"20077",2015,4
"20079",2015,53
"20081",2015,2
"20083",2015,3
"20085",2015,11
"20087",2015,11
"20089",2015,0
"20091",2015,2829
"20093",2015,4
"20095",2015,0
"20097",2015,1
"20099",2015,27
"20101",2015,1
"20103",2015,56
"20105",2015,0
"20107",2015,2
"20109",2015,1
"20111",2015,34
"20113",2015,27
"20115",2015,6
"20117",2015,6
"20119",2015,3
"20121",2015,20
"20123",2015,5
"20125",2015,21
"20127",2015,7
"20129",2015,3
"20131",2015,9
"20133",2015,13
"20135",2015,1
"20137",2015,2
"20139",2015,2
"20141",2015,1
"20143",2015,3
"20145",2015,13
"20147",2015,2
"20149",2015,18
"20151",2015,12
"20153",2015,2
"20155",2015,98
"20157",2015,5
"20159",2015,4
"20161",2015,130
"20163",2015,5
"20165",2015,1
"20167",2015,4
"20169",2015,140
"20171",2015,5
"20173",2015,1279
"20175",2015,26
"20177",2015,352
"20179",2015,0
"20181",2015,3
"20183",2015,6
"20185",2015,0
"20187",2015,2
"20189",2015,1
"20191",2015,7
"20193",2015,3
