GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC04_EST_VC18,"Median earnings (dollars); Estimate; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
HC04_MOE_VC18,"Median earnings (dollars); Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
HC05_EST_VC18,"Median earnings (dollars) for male; Estimate; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
HC05_MOE_VC18,"Median earnings (dollars) for male; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
HC06_EST_VC18,"Median earnings (dollars) for female; Estimate; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
HC06_MOE_VC18,"Median earnings (dollars) for female; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Management of companies and enterprises"
HC01_EST_VC19,"Total; Estimate; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HC01_MOE_VC19,"Total; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HC02_EST_VC19,"Male; Estimate; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HC02_MOE_VC19,"Male; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HC03_EST_VC19,"Female; Estimate; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HC03_MOE_VC19,"Female; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HC04_EST_VC19,"Median earnings (dollars); Estimate; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HC04_MOE_VC19,"Median earnings (dollars); Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HC05_EST_VC19,"Median earnings (dollars) for male; Estimate; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HC05_MOE_VC19,"Median earnings (dollars) for male; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HC06_EST_VC19,"Median earnings (dollars) for female; Estimate; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HC06_MOE_VC19,"Median earnings (dollars) for female; Margin of Error; Professional, scientific, and management, and administrative and waste management services: - Administrative and support and waste management services"
HC01_EST_VC20,"Total; Estimate; Educational services, and health care and social assistance:"
HC01_MOE_VC20,"Total; Margin of Error; Educational services, and health care and social assistance:"
HC02_EST_VC20,"Male; Estimate; Educational services, and health care and social assistance:"
HC02_MOE_VC20,"Male; Margin of Error; Educational services, and health care and social assistance:"
HC03_EST_VC20,"Female; Estimate; Educational services, and health care and social assistance:"
HC03_MOE_VC20,"Female; Margin of Error; Educational services, and health care and social assistance:"
HC04_EST_VC20,"Median earnings (dollars); Estimate; Educational services, and health care and social assistance:"
HC04_MOE_VC20,"Median earnings (dollars); Margin of Error; Educational services, and health care and social assistance:"
HC05_EST_VC20,"Median earnings (dollars) for male; Estimate; Educational services, and health care and social assistance:"
HC05_MOE_VC20,"Median earnings (dollars) for male; Margin of Error; Educational services, and health care and social assistance:"
HC06_EST_VC20,"Median earnings (dollars) for female; Estimate; Educational services, and health care and social assistance:"
HC06_MOE_VC20,"Median earnings (dollars) for female; Margin of Error; Educational services, and health care and social assistance:"
HC01_EST_VC21,"Total; Estimate; Educational services, and health care and social assistance: - Educational services"
HC01_MOE_VC21,"Total; Margin of Error; Educational services, and health care and social assistance: - Educational services"
HC02_EST_VC21,"Male; Estimate; Educational services, and health care and social assistance: - Educational services"
HC02_MOE_VC21,"Male; Margin of Error; Educational services, and health care and social assistance: - Educational services"
HC03_EST_VC21,"Female; Estimate; Educational services, and health care and social assistance: - Educational services"
HC03_MOE_VC21,"Female; Margin of Error; Educational services, and health care and social assistance: - Educational services"
HC04_EST_VC21,"Median earnings (dollars); Estimate; Educational services, and health care and social assistance: - Educational services"
HC04_MOE_VC21,"Median earnings (dollars); Margin of Error; Educational services, and health care and social assistance: - Educational services"
HC05_EST_VC21,"Median earnings (dollars) for male; Estimate; Educational services, and health care and social assistance: - Educational services"
HC05_MOE_VC21,"Median earnings (dollars) for male; Margin of Error; Educational services, and health care and social assistance: - Educational services"
HC06_EST_VC21,"Median earnings (dollars) for female; Estimate; Educational services, and health care and social assistance: - Educational services"
HC06_MOE_VC21,"Median earnings (dollars) for female; Margin of Error; Educational services, and health care and social assistance: - Educational services"
HC01_EST_VC22,"Total; Estimate; Educational services, and health care and social assistance: - Health care and social assistance"
HC01_MOE_VC22,"Total; Margin of Error; Educational services, and health care and social assistance: - Health care and social assistance"
HC02_EST_VC22,"Male; Estimate; Educational services, and health care and social assistance: - Health care and social assistance"
HC02_MOE_VC22,"Male; Margin of Error; Educational services, and health care and social assistance: - Health care and social assistance"
HC03_EST_VC22,"Female; Estimate; Educational services, and health care and social assistance: - Health care and social assistance"
HC03_MOE_VC22,"Female; Margin of Error; Educational services, and health care and social assistance: - Health care and social assistance"
HC04_EST_VC22,"Median earnings (dollars); Estimate; Educational services, and health care and social assistance: - Health care and social assistance"
HC04_MOE_VC22,"Median earnings (dollars); Margin of Error; Educational services, and health care and social assistance: - Health care and social assistance"
HC05_EST_VC22,"Median earnings (dollars) for male; Estimate; Educational services, and health care and social assistance: - Health care and social assistance"
HC05_MOE_VC22,"Median earnings (dollars) for male; Margin of Error; Educational services, and health care and social assistance: - Health care and social assistance"
HC06_EST_VC22,"Median earnings (dollars) for female; Estimate; Educational services, and health care and social assistance: - Health care and social assistance"
HC06_MOE_VC22,"Median earnings (dollars) for female; Margin of Error; Educational services, and health care and social assistance: - Health care and social assistance"
HC01_EST_VC23,"Total; Estimate; Arts, entertainment, and recreation, and accommodation and food services:"
HC01_MOE_VC23,"Total; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services:"
HC02_EST_VC23,"Male; Estimate; Arts, entertainment, and recreation, and accommodation and food services:"
HC02_MOE_VC23,"Male; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services:"
HC03_EST_VC23,"Female; Estimate; Arts, entertainment, and recreation, and accommodation and food services:"
HC03_MOE_VC23,"Female; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services:"
HC04_EST_VC23,"Median earnings (dollars); Estimate; Arts, entertainment, and recreation, and accommodation and food services:"
HC04_MOE_VC23,"Median earnings (dollars); Margin of Error; Arts, entertainment, and recreation, and accommodation and food services:"
HC05_EST_VC23,"Median earnings (dollars) for male; Estimate; Arts, entertainment, and recreation, and accommodation and food services:"
HC05_MOE_VC23,"Median earnings (dollars) for male; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services:"
HC06_EST_VC23,"Median earnings (dollars) for female; Estimate; Arts, entertainment, and recreation, and accommodation and food services:"
HC06_MOE_VC23,"Median earnings (dollars) for female; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services:"
HC01_EST_VC24,"Total; Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC01_MOE_VC24,"Total; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC02_EST_VC24,"Male; Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC02_MOE_VC24,"Male; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC03_EST_VC24,"Female; Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC03_MOE_VC24,"Female; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC04_EST_VC24,"Median earnings (dollars); Estimate; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
HC04_MOE_VC24,"Median earnings (dollars); Margin of Error; Arts, entertainment, and recreation, and accommodation and food services: - Arts, entertainment, and recreation"
